energy_meV,median,lower,upper
0.0,4.25528366629703,3.159773659596739,5.8238824705357155
1.0,4.398022468991032,3.3935925065210997,5.900037742233955
2.0,4.536272059174322,3.619756738971382,5.975190858068221
3.0,4.670431109859272,3.8299588627894967,6.0501335640460505
4.0,4.8008425624089135,4.024304225564369,6.123894077343518
5.0,4.92780395979108,4.2057106434152685,6.198390363981581
6.0,5.051575439724554,4.375457648931654,6.2714924119593665
7.0,5.172386004575063,4.53631322058627,6.343797184478233
8.0,5.290438501430639,4.68881375744267,6.4166937146317595
9.0,5.405913622554039,4.834223405723011,6.489450884834395
10.0,5.518973151919749,4.973685629723551,6.5618961368267374
11.0,5.629762624543479,5.107004534416506,6.634448559900594
12.0,5.738413523422858,5.235267610901703,6.706056942432878
13.0,5.845045108713706,5.359502579504898,6.778032913172732
14.0,5.949765951698747,5.4787179353578725,6.8511332048434905
15.0,6.0526752297714905,5.593427185440436,6.924738467281701
16.0,6.153863826425235,5.704665062435177,6.999420851578732
17.0,6.253415270976389,5.812848373413805,7.076937155404236
18.0,6.351406545669737,5.917595538544206,7.1557439414047534
19.0,6.447908782347347,6.0186131042747055,7.235765407147162
20.0,6.542987866607099,6.116880530390974,7.3188975991547425
21.0,6.636704964036249,6.212043538397526,7.40234928066597
22.0,6.7291169804632665,6.304232812947168,7.487618636933918
23.0,6.820276966066315,6.3940226058863185,7.572886069273505
24.0,6.9102344714886765,6.481141567472025,7.659192907222483
25.0,6.999035862748959,6.566127845472506,7.746631844827584
26.0,7.086724600627693,6.647906533399089,7.834222009287796
27.0,7.17334148930869,6.727764458952637,7.921075340032361
28.0,7.258924898311944,6.805849574773087,8.008602975345623
29.0,7.343510961143092,6.881436160403094,8.096471174590684
30.0,7.4271337535771105,6.9552005877262495,8.184462962771159
31.0,7.509825454071492,7.026662482046544,8.272472736593105
32.0,7.591616488450649,7.096189932987555,8.359873495571449
33.0,7.672535660706403,7.164067496199735,8.447251155735138
34.0,7.752610271509017,7.231067202825804,8.53445488237856
35.0,7.831866225811238,7.296681327826426,8.621374949691807
36.0,7.910328130747703,7.361251461040448,8.706988439053585
37.0,7.988019384878464,7.424544484228923,8.792911980215706
38.0,8.064962259694076,7.486671215224812,8.878537185252771
39.0,8.141177974186872,7.548176076538927,8.963757277226977
40.0,8.216686763196048,7.609252739826587,9.048422970984534
41.0,8.29150794015038,7.669518083410914,9.132432535140811
42.0,8.365659954759842,7.728696387355443,9.2163057129987
43.0,8.439160446144399,7.786787051385687,9.299501266156666
44.0,8.512026291833443,7.843557657887221,9.382360993348414
45.0,8.584273653021523,7.90026245459805,9.465076791348226
46.0,8.655918016424092,7.95662196987194,9.547326996749884
47.0,8.726974233040385,8.012332265456315,9.628448168429825
48.0,8.797456554098265,8.067412078945516,9.70934744922176
49.0,8.867378664427395,8.121704194455463,9.789545666463225
50.0,8.936753713482199,8.175481421881395,9.869625257274983
51.0,9.005594344213684,8.228835994376468,9.949400240776468
52.0,9.07391271996977,8.281740701412208,10.028071623333272
53.0,9.141720549586104,8.3342189795424,10.106564541782534
54.0,9.209029110814047,8.385646755851658,10.184267730071712
55.0,9.275849272218487,8.437088706762689,10.261530032186782
56.0,9.34219151366594,8.487976219709651,10.338736575497038
57.0,9.408065945512261,8.53864867662343,10.415481984934464
58.0,9.47348232658948,8.588583863592445,10.49179498177688
59.0,9.5384500810823,8.638290647296008,10.567128133149115
60.0,9.60297831437698,8.68745381427768,10.642366575988099
61.0,9.667075827958021,8.736649213652477,10.716970001943098
62.0,9.73075113342161,8.78529434292184,10.791314926995382
63.0,9.794012465669091,8.833531931560545,10.865093629507646
