,energies_meV,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,    ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,        ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40
0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2812628126281262e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,6.5,0.0,0.0,5.125051250512505e-05,5.125051250512505e-05,6.406314063140631e-05,0.0,0.0,2.5625256252562524e-05,0.00015375153751537516,0.0,0.0,2.5625256252562524e-05,0.0005637556375563755,0.0,3.843788437884379e-05,0.0,0.0,0.0,0.0,3.843788437884379e-05,0.0,0.0,0.00019218942189421894,0.00015375153751537516,1.2812628126281262e-05,0.0,0.0,0.0,0.0,0.0,2.5625256252562524e-05,0.0,0.0,0.0,5.125051250512505e-05,0.0,0.0,0.0,0.0,0.0,0.0
7.0,7.5,1.2812628126281262e-05,0.0,0.0005509430094300943,0.0043947314473144735,0.005291615416154162,0.0001025010250102501,0.0,0.0012940754407544076,0.003907851578515785,0.0,0.0,0.0014478269782697826,0.009776035260352603,1.2812628126281262e-05,0.0007175071750717508,8.968839688396884e-05,0.0,0.00034594095940959407,1.2812628126281262e-05,0.0018322058220582205,0.0006021935219352193,2.5625256252562524e-05,0.004317855678556785,0.0029340918409184093,0.0010378228782287823,0.0,2.5625256252562524e-05,0.0,0.0004228167281672817,0.0004100041000410004,0.0009481344813448134,0.0001665641656416564,0.0,0.0002050020500205002,0.0016912669126691268,0.0,0.0,0.0009481344813448134,0.00046125461254612545,0.001165949159491595,0.0002050020500205002
8.0,8.5,0.001268450184501845,0.0,0.004740672406724067,0.06990569905699057,0.062166871668716685,0.006111623616236162,1.2812628126281262e-05,0.012261685116851169,0.03369721197211972,0.0,0.00014093890938909388,0.02706027060270603,0.06344813448134481,0.00046125461254612545,0.014375768757687576,0.0021653341533415336,0.0,0.0039719147191471914,0.0020243952439524394,0.029802173021730216,0.007034132841328413,0.0005893808938089381,0.054838048380483805,0.01878331283312833,0.016284850348503487,0.0002050020500205002,0.0023062730627306273,0.0,0.015490467404674047,0.007380073800738007,0.010096350963509635,0.00517630176301763,8.968839688396884e-05,0.007482574825748258,0.018117056170561707,0.0,0.0,0.02421586715867159,0.006944444444444444,0.021922406724067242,0.007969454694546945
9.0,9.5,0.03769475194751948,0.0,0.023908364083640835,0.2731908569085691,0.22985854858548585,0.07114852398523985,0.0008071955719557196,0.054325543255432554,0.11647960229602296,0.0017040795407954079,0.004305043050430504,0.13254663796637967,0.18118337433374335,0.012210434604346043,0.08288489134891348,0.01451670766707667,0.0,0.02789309143091431,0.03882226322263223,0.12959973349733497,0.039424456744567446,0.013478884788847888,0.2163540385403854,0.06651035260352603,0.08599835998359984,0.005150676506765067,0.042845428454284545,0.0,0.12119464944649447,0.05023831488314883,0.04261480114801148,0.05312115621156212,0.0026009635096350962,0.07667076670766708,0.07847734727347273,0.00019218942189421894,0.0,0.1455130176301763,0.0474579745797458,0.12238622386223862,0.07458230832308323
