energy_mev,eta_tot_lower,eta_tot_median,eta_tot_upper,eta_a_lower,eta_a_median,eta_a_upper,eta_f_lower,eta_f_median,eta_f_upper,eta_c_lower,eta_c_median,eta_c_upper,eta_o_lower,eta_o_median,eta_o_upper,eta_t_lower,eta_t_median,eta_t_upper,a_abs
7,-1.16E-06,-1.42E-06,-1.68E-06,0.076263403,0.08614915,0.094936326,0.74,0.8,0.86,0.65895695,0.708712305,0.75862358,0.39,0.46,0.53,0.999880176,0.99988392,0.999887664,-6.32E-05
7.052525253,-1.20E-06,-1.47E-06,-1.74E-06,0.078143621,0.088312809,0.097350824,0.74,0.8,0.86,0.659088138,0.708839834,0.758749769,0.39,0.46,0.53,0.999878807,0.999882594,0.999886381,-6.39E-05
7.105050505,-1.25E-06,-1.53E-06,-1.81E-06,0.080065935,0.090526042,0.099819623,0.74,0.8,0.86,0.659220299,0.708968308,0.758876895,0.39,0.46,0.53,0.999877428,0.999881258,0.999885088,-6.46E-05
7.157575758,-1.29E-06,-1.58E-06,-1.87E-06,0.082031075,0.092789688,0.102343583,0.74,0.8,0.86,0.659353432,0.709097728,0.759004956,0.39,0.46,0.53,0.999876039,0.999879913,0.999883786,-6.54E-05
7.21010101,-1.34E-06,-1.64E-06,-1.94E-06,0.084039775,0.095104583,0.104923556,0.74,0.8,0.86,0.659487537,0.709228094,0.759133953,0.39,0.46,0.53,0.999874641,0.999878558,0.999882476,-6.61E-05
7.262626263,-1.39E-06,-1.70E-06,-2.01E-06,0.086092769,0.097471557,0.107660899,0.74,0.8,0.86,0.659622614,0.709359406,0.759263886,0.39,0.46,0.53,0.999873232,0.999877193,0.999881154,-6.69E-05
7.315151515,-1.44E-06,-1.76E-06,-2.09E-06,0.088190792,0.099891437,0.110839312,0.74,0.8,0.86,0.659758663,0.709491663,0.759394754,0.39,0.46,0.53,0.999871813,0.999875818,0.999879824,-6.76E-05
7.367676768,-1.49E-06,-1.83E-06,-2.16E-06,0.090334582,0.102365041,0.11409884,0.74,0.8,0.86,0.659895684,0.709624866,0.759526557,0.39,0.46,0.53,0.999870383,0.999874434,0.999878484,-6.84E-05
7.42020202,-1.55E-06,-1.89E-06,-2.24E-06,0.092524872,0.104893181,0.117440799,0.74,0.8,0.86,0.660033675,0.709759013,0.759659296,0.39,0.46,0.53,0.999868944,0.999873039,0.999877135,-6.91E-05
7.472727273,-1.60E-06,-1.96E-06,-2.32E-06,0.094762398,0.107476659,0.12086648,0.74,0.8,0.86,0.660172638,0.709894105,0.759792969,0.39,0.46,0.53,0.999867495,0.999871635,0.999875776,-6.99E-05
7.525252525,-1.66E-06,-2.03E-06,-2.41E-06,0.097047892,0.110116267,0.124377148,0.74,0.8,0.86,0.660312571,0.710030142,0.759927576,0.39,0.46,0.53,0.999866035,0.999870221,0.999874407,-7.06E-05
7.577777778,-1.72E-06,-2.11E-06,-2.49E-06,0.099273309,0.112812783,0.127974036,0.74,0.8,0.86,0.660453475,0.710167123,0.760063118,0.39,0.46,0.53,0.999864565,0.999868797,0.999873029,-7.14E-05
7.63030303,-1.78E-06,-2.18E-06,-2.58E-06,0.101164403,0.115566973,0.131658344,0.74,0.8,0.86,0.66059535,0.710305049,0.760199594,0.39,0.46,0.53,0.999863084,0.999867363,0.999871641,-7.22E-05
7.682828283,-1.84E-06,-2.26E-06,-2.67E-06,0.103087223,0.118379588,0.135431233,0.74,0.8,0.86,0.660738194,0.710443918,0.760337004,0.39,0.46,0.53,0.999861594,0.999865919,0.999870244,-7.30E-05
7.735353535,-1.91E-06,-2.34E-06,-2.77E-06,0.105042135,0.12125136,0.139293824,0.74,0.8,0.86,0.660882009,0.710583732,0.760475348,0.39,0.46,0.53,0.999860093,0.999864465,0.999868836,-7.38E-05
7.787878788,-1.98E-06,-2.42E-06,-2.87E-06,0.107029505,0.124183004,0.143247191,0.74,0.8,0.86,0.661026793,0.710724489,0.760614626,0.39,0.46,0.53,0.999858581,0.999863,0.999867419,-7.46E-05
