m_test,lower_2sigma,lower_1sigma,median,upper_1sigma,upper_2sigma,limit
1.299999999999999940e-02,1.334433107932559012e-11,1.593289209397090587e-11,2.198704752480751964e-11,3.107193432037587956e-11,4.606304572928340623e-11,1.326046011968503609e-11
1.349999999999999985e-02,1.162529774955241377e-11,1.525042831738415125e-11,2.089872234090743136e-11,2.968278292292644979e-11,4.247919357899122613e-11,1.150893550302545697e-11
1.400000000000000029e-02,1.151227709354857954e-11,1.432605097033134869e-11,2.015149136078221787e-11,2.872864666410142900e-11,3.961659239160578275e-11,1.120253749692705978e-11
1.450000000000000074e-02,1.084553080742160844e-11,1.420446899475409789e-11,2.015401474571833744e-11,2.757199549224403133e-11,3.676986636580983986e-11,1.047175640957198354e-11
1.509999999999999884e-02,1.082251991166811133e-11,1.330719572631186770e-11,1.920374573329982888e-11,2.510342473422849340e-11,3.456633189221720835e-11,1.054263616090475735e-11
1.559999999999999928e-02,1.100858173383920246e-11,1.319426054625779682e-11,1.793240977126462259e-11,2.529455626015155374e-11,3.391424713463503609e-11,1.054263616090475735e-11
1.619999999999999912e-02,9.900968815844605538e-12,1.188195735474845058e-11,1.655414330845066239e-11,2.436293698296680292e-11,3.131787753242043373e-11,9.463988823717952520e-12
1.680000000000000243e-02,9.265608551516802571e-12,1.198087280104230252e-11,1.628192592151296878e-11,2.298939550588936076e-11,2.799232309125022100e-11,9.337160921953431098e-12
1.750000000000000167e-02,9.038004314628022015e-12,1.168656969121629124e-11,1.588196996569636524e-11,2.262010800783478606e-11,2.837508247524740022e-11,9.027477325003737147e-12
1.810000000000000150e-02,9.420520185462242214e-12,1.093662469631710251e-11,1.523708991105072020e-11,2.082816606883811457e-11,2.651126798935524134e-11,9.274385764563824113e-12
1.880000000000000074e-02,8.653123091945592490e-12,1.084633068095191900e-11,1.497172201782440761e-11,2.125053638498083354e-11,2.423975578159051679e-11,8.611099227972351038e-12
1.949999999999999997e-02,8.785810987450655391e-12,1.032216115426611936e-11,1.390752588407496725e-11,1.915654711051693136e-11,2.383263012879498073e-11,8.669384824782320960e-12
2.019999999999999921e-02,7.832808171001018128e-12,1.023932189581879377e-11,1.368519528144364285e-11,1.869805968532129736e-11,2.301311537127561863e-11,8.213925911351466972e-12
2.100000000000000130e-02,7.912052299602142798e-12,9.677766143339545412e-12,1.303930263507772062e-11,1.690332340714681813e-11,2.013101245042517454e-11,7.995249690530136771e-12
2.179999999999999993e-02,7.358583099139403094e-12,8.928545863444236758e-12,1.193727770452796091e-11,1.634831618078567458e-11,1.998665712823250100e-11,7.323962192740349402e-12
2.260000000000000203e-02,6.900156858816779363e-12,8.473543165619611987e-12,1.142879032407584862e-11,1.504898510007439584e-11,1.842302354591579413e-11,6.986156033748775833e-12
2.339999999999999719e-02,6.648351460453439323e-12,7.897311159931028913e-12,1.029007874761558504e-11,1.373165613734554085e-11,1.728730444705924267e-11,6.709036525053582431e-12
2.430000000000000215e-02,5.729859272579723214e-12,6.967941581208203345e-12,9.988687951149911459e-12,1.269521185924608336e-11,1.560062319367324855e-11,5.744832144273240704e-12
2.520000000000000018e-02,5.216304003861307154e-12,6.648351460453439323e-12,8.726125884952720070e-12,1.165585369952057691e-11,1.404979723023600096e-11,5.406424671120868433e-12
2.619999999999999760e-02,4.865967354399281126e-12,5.849638625573691878e-12,8.175063253406956168e-12,1.072244746385330945e-11,1.358756199775308974e-11,4.952496972807165220e-12
2.719999999999999848e-02,4.125230129069453817e-12,5.463266022538606687e-12,7.229591904025215130e-12,9.827139977827940737e-12,1.205453777894575934e-11,4.327434157519750155e-12
2.819999999999999937e-02,3.606526356488762471e-12,4.864522975488224835e-12,6.632831605466874873e-12,8.959531402224614908e-12,1.090947339922916209e-11,3.832622931421764131e-12
2.929999999999999966e-02,3.205879266075746738e-12,4.271748347363791246e-12,6.150069329922037140e-12,8.163687503537638317e-12,9.958373448627872232e-12,3.259744744036854881e-12
2.960000000000000131e-02,3.101503604148399750e-12,4.057243358378170831e-12,5.691990380393237463e-12,7.745846857701137894e-12,9.364795401229610051e-12,3.194438498748182312e-12
3.039999999999999994e-02,2.808099367170007845e-12,3.881975835191460084e-12,5.446103957555373452e-12,7.167317422536311538e-12,8.805005543043655524e-12,3.006265575091979559e-12
3.150000000000000022e-02,2.551876421488564767e-12,3.606526356488762471e-12,4.912886408849237589e-12,6.594647584794867160e-12,8.271368802183988895e-12,2.791263144527165630e-12
3.229999999999999538e-02,2.189171621465890805e-12,3.016970823052131717e-12,4.561441607130736435e-12,6.069731691771292084e-12,7.436926075268739242e-12,2.390110439244746107e-12
3.269999999999999990e-02,2.082630738525939436e-12,2.883590112096133407e-12,4.433234157146574381e-12,6.113955793846820246e-12,7.398048755631220691e-12,2.264542463472545256e-12
3.389999999999999958e-02,1.619954517109507543e-12,2.560812486791392671e-12,3.899457133550703300e-12,5.414654750642225038e-12,6.798958725175619988e-12,1.887464996376050424e-12
3.520000000000000212e-02,1.338751022777062682e-12,2.189171621465890805e-12,3.657176247307384358e-12,4.922637273382973940e-12,6.161363192177671764e-12,1.900240603863459670e-12
3.649999999999999772e-02,1.148570826518568596e-12,1.939360972799407640e-12,3.309869105463278941e-12,4.653764595589031902e-12,5.812949929942290808e-12,1.728991940045639040e-12
3.789999999999999619e-02,9.912423511861009331e-13,1.737473055635086347e-12,3.002622187216388560e-12,4.151777754557363116e-12,5.066297097548199377e-12,1.671646838299406693e-12
3.929999999999999466e-02,7.156167543584392611e-13,1.603307619513991566e-12,2.821965752882825319e-12,3.729295498660960287e-12,4.418876849116641028e-12,1.616203689140760837e-12
4.079999999999999599e-02,5.027675349997901333e-13,1.266305665983260592e-12,2.487464349622287514e-12,3.338368728173480553e-12,4.054675255224977549e-12,1.500615856737613634e-12
4.229999999999999732e-02,3.393619189052832952e-13,1.138160096558722388e-12,2.296346304552201385e-12,3.156305653068689642e-12,3.881099005257807078e-12,1.562599410919564094e-12
4.390000000000000152e-02,3.065788825751632864e-13,1.179528305016779684e-12,2.177163585874804601e-12,2.867585152020547306e-12,3.556379459841031890e-12,1.500615856737613634e-12
4.549999999999999878e-02,1.524967082109488463e-13,1.015564925942255837e-12,1.780714382680212139e-12,2.536107840138070974e-12,3.098491402332127147e-12,1.431402326499998608e-12
4.720000000000000584e-02,1.338821116071456581e-13,9.919733679692602362e-13,1.792200156958260542e-12,2.461341351075673326e-12,3.054503100439636936e-12,1.531294045490529517e-12
4.900000000000000189e-02,1.255913948384806216e-13,9.302026386090978638e-13,1.735502678507126199e-12,2.273524084817941713e-12,2.757760774655009338e-12,1.450845255155539995e-12
5.090000000000000080e-02,1.142882818801471682e-13,7.254717901186541524e-13,1.564344389046649309e-12,2.106255950943035616e-12,2.632741730678742463e-12,1.412219954560179252e-12
5.279999999999999971e-02,1.674469812512929317e-13,7.458988801554872179e-13,1.575947044377704548e-12,2.159541741687309125e-12,2.618150343149564319e-12,1.460665532374150691e-12
