mass_eV,chi,q_disc,probability
0.013,1e-13,518.2523536912377,0.0
0.013,1.27e-13,518.2523536912377,0.0
0.013,1.61e-13,518.2523536912377,0.0
0.013,2.04e-13,518.2523536912377,0.0
0.013,2.59e-13,518.2523536912377,0.0
0.013,3.29e-13,518.2523536912377,0.0
0.013,4.17e-13,518.2523536912377,0.0
0.013,5.3e-13,518.2523536912377,0.0
0.013,6.72e-13,518.2523536912377,0.0
0.013,8.53e-13,518.2523536912377,0.0
0.013,1.083e-12,518.2523536912377,0.0
0.013,1.374e-12,518.2523536912377,0.0
0.013,1.743e-12,518.2523536912377,0.0
0.013,2.212e-12,518.2523536912377,0.0
0.013,2.807e-12,518.2523536912377,0.0
0.013,3.562e-12,518.2523536912377,0.0
0.013,4.52e-12,518.2523536912377,0.0
0.013,5.736e-12,518.2523536912377,0.0
0.013,7.279e-12,518.2523536912377,0.0
0.013,9.237e-12,518.2523536912377,0.012987012987012988
0.013,1.1721e-11,518.2523536912377,0.023976023976023976
0.013,1.4874e-11,518.2523536912377,0.055944055944055944
0.013,1.8874e-11,518.2523536912377,0.15884115884115885
0.013,2.395e-11,518.2523536912377,0.45054945054945056
0.013,3.0392e-11,518.2523536912377,0.7922077922077922
0.013,3.8566e-11,518.2523536912377,0.973026973026973
0.013,4.8939e-11,518.2523536912377,1.0
0.013,6.2102e-11,518.2523536912377,1.0
0.013,7.8805e-11,518.2523536912377,1.0
0.013,1e-10,518.2523536912377,1.0
0.0135,1e-13,632.8130960395857,0.0
0.0135,1.27e-13,632.8130960395857,0.0
0.0135,1.61e-13,632.8130960395857,0.0
0.0135,2.04e-13,632.8130960395857,0.0
0.0135,2.59e-13,632.8130960395857,0.0
0.0135,3.29e-13,632.8130960395857,0.0
0.0135,4.17e-13,632.8130960395857,0.0
0.0135,5.3e-13,632.8130960395857,0.0
0.0135,6.72e-13,632.8130960395857,0.0
0.0135,8.53e-13,632.8130960395857,0.0
0.0135,1.083e-12,632.8130960395857,0.0
0.0135,1.374e-12,632.8130960395857,0.0
0.0135,1.743e-12,632.8130960395857,0.0
0.0135,2.212e-12,632.8130960395857,0.0
0.0135,2.807e-12,632.8130960395857,0.0
0.0135,3.562e-12,632.8130960395857,0.0
0.0135,4.52e-12,632.8130960395857,0.0
0.0135,5.736e-12,632.8130960395857,0.0
0.0135,7.279e-12,632.8130960395857,0.0
0.0135,9.237e-12,632.8130960395857,0.0
0.0135,1.1721e-11,632.8130960395857,0.0
0.0135,1.4874e-11,632.8130960395857,0.03496503496503497
0.0135,1.8874e-11,632.8130960395857,0.11788211788211789
0.0135,2.395e-11,632.8130960395857,0.4245754245754246
0.0135,3.0392e-11,632.8130960395857,0.8111888111888111
0.0135,3.8566e-11,632.8130960395857,0.981018981018981
0.0135,4.8939e-11,632.8130960395857,1.0
0.0135,6.2102e-11,632.8130960395857,1.0
0.0135,7.8805e-11,632.8130960395857,1.0
0.0135,1e-10,632.8130960395857,1.0
0.014,1e-13,511.4727680980765,0.0
0.014,1.27e-13,511.4727680980765,0.0
0.014,1.61e-13,511.4727680980765,0.0
0.014,2.04e-13,511.4727680980765,0.0
0.014,2.59e-13,511.4727680980765,0.0
0.014,3.29e-13,511.4727680980765,0.0
0.014,4.17e-13,511.4727680980765,0.0
0.014,5.3e-13,511.4727680980765,0.0
0.014,6.72e-13,511.4727680980765,0.0
0.014,8.53e-13,511.4727680980765,0.0
0.014,1.083e-12,511.4727680980765,0.0
0.014,1.374e-12,511.4727680980765,0.0
0.014,1.743e-12,511.4727680980765,0.0
0.014,2.212e-12,511.4727680980765,0.0
0.014,2.807e-12,511.4727680980765,0.0
0.014,3.562e-12,511.4727680980765,0.0
0.014,4.52e-12,511.4727680980765,0.0
0.014,5.736e-12,511.4727680980765,0.0
